idx,f1-weight,inference-time-weight,memory-weight,objective-function,number_of_food_sources,number_of_iteration,abc_best_params,abc_best_param_idx,abc_best_fitness,abc_best_f1,abc_best_inference_time,abc_best_memory,abc_iteration_count,opt_params,opt_param_idx,opt_f1,opt_inference_time,opt_memory,f1_diff,f1_diff,memory_diff
1,34,33,33,max-normalized,5,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",24,0.9546505344565092,0.9609986992,0.9069824219,227.7,105,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.009015576000000025,0.054199218699999996,0.4000000000000057
2,34,33,33,max-normalized,5,20,"{'hidden_layer_sizes': (50, 100), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",786,0.9576089461573862,0.9610792885,1.280273438,228.3,196,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.008934986700000036,0.31909179740000004,0.20000000000001705
3,34,33,33,max-normalized,5,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",141,0.9536678512676058,0.9649027904,0.9660644531,227.6,286,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.00511148480000001,0.0048828125,0.5
4,34,33,33,max-normalized,5,40,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,386,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
5,34,33,33,max-normalized,5,50,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",91,0.9590978110004013,0.9675470133,1.088134766,232.5,491,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0024672619000000173,0.12695312540000003,4.400000000000006
6,34,33,33,max-normalized,10,10,"{'hidden_layer_sizes': (50, 50, 100), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",2244,0.9568052810777543,0.9661037332,1.426757813,228.2,174,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.003910542000000072,0.46557617240000004,0.09999999999999432
7,34,33,33,max-normalized,10,20,"{'hidden_layer_sizes': (50, 100, 50), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': False}",2570,0.9567092926833322,0.9673210342,1.455566406,228.3,306,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.002693241000000013,0.4943847654,0.20000000000001705
8,34,33,33,max-normalized,10,30,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'lbfgs', 'alpha': 0.01, 'learning_rate': 'adaptive', 'warm_start': False}",94,0.9585053007747673,0.9661338117,1.120361328,231.4,468,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.003880463500000042,0.1591796874,3.3000000000000114
9,34,33,33,max-normalized,10,40,"{'hidden_layer_sizes': (100, 150, 50), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': True}",4507,0.9590084945561363,0.9688242895,1.939453125,228.1,640,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0011899857000000624,0.9782714844,0.0
10,34,33,33,max-normalized,10,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",33,0.9546846043305047,0.9624934619,0.9165039063,228.1,798,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.007520813300000095,0.044677734299999994,0.0
11,34,33,33,max-normalized,15,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': False}",26,0.95510004063968,0.9611199768,0.9133300781,228.1,226,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0088942984,0.0478515625,0.0
12,34,33,33,max-normalized,15,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",19,0.9538127225905466,0.9635429624,0.9016113281,227.7,444,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0064713128000000175,0.0595703125,0.4000000000000057
13,34,33,33,max-normalized,15,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",128,0.954667463768033,0.963639158,0.9907226563,228.0,667,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.006375117200000058,0.029541015700000006,0.09999999999999432
14,34,33,33,max-normalized,15,40,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",142,0.9530665614320817,0.9661844779,0.9704589844,227.4,868,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.003829797300000104,0.009277343800000004,0.6999999999999886
15,34,33,33,max-normalized,15,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",141,0.9536678512676058,0.9649027904,0.9660644531,227.6,1057,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.00511148480000001,0.0048828125,0.5
16,34,33,33,max-normalized,20,10,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",139,0.9538127700860859,0.9636430255,0.9794921875,227.3,287,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.006371249700000026,0.018310546900000002,0.799999999999983
17,34,33,33,max-normalized,20,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,542,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
18,34,33,33,max-normalized,20,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,791,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
19,34,33,33,max-normalized,20,40,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",139,0.9538127700860859,0.9636430255,0.9794921875,227.3,1061,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.006371249700000026,0.018310546900000002,0.799999999999983
20,34,33,33,max-normalized,20,50,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",36,0.954885769168861,0.9598777931,0.9057617188,227.6,1313,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.010136482100000066,0.055419921799999994,0.5
21,34,33,33,max-normalized,25,10,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",88,0.9548445178509856,0.9634292846,0.9541015625,228.3,339,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.006584990600000062,0.007080078099999998,0.20000000000001705
22,34,33,33,max-normalized,25,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,641,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
23,34,33,33,max-normalized,25,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",128,0.954667463768033,0.963639158,0.9907226563,228.0,953,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.006375117200000058,0.029541015700000006,0.09999999999999432
24,34,33,33,max-normalized,25,40,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",73,0.9540246454921572,0.9648579746,0.9853515625,227.8,1250,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.005156300600000052,0.024169921900000002,0.29999999999998295
25,34,33,33,max-normalized,25,50,"{'hidden_layer_sizes': (50, 150, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': True}",2999,0.956503966776499,0.9686782447,1.546630859,228.0,1598,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.001336030500000085,0.5854492184,0.09999999999999432
26,34,33,33,max-normalized,30,10,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'constant', 'warm_start': True}",133,0.954562832857045,0.9623077859,0.9599609375,227.7,387,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.007706489300000063,0.001220703099999998,0.4000000000000057
27,34,33,33,max-normalized,30,20,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",19,0.9538127225905466,0.9635429624,0.9016113281,227.7,745,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0064713128000000175,0.0595703125,0.4000000000000057
28,34,33,33,max-normalized,30,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",142,0.9530665614320817,0.9661844779,0.9704589844,227.4,1111,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.003829797300000104,0.009277343800000004,0.6999999999999886
29,34,33,33,max-normalized,30,40,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.952583770993016,0.9700142752,0.9611816406,228.1,1451,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0,0.0,0.0
30,34,33,33,max-normalized,30,50,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",132,0.9537911843906545,0.9661410647,0.9951171875,227.9,1825,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': False}",90,0.9700142752,0.9611816406,228.1,0.0038732105000000017,0.0339355469,0.19999999999998863
31,34,33,33,range-normalized,5,10,"{'hidden_layer_sizes': (150, 150, 150), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",6299,0.7631872886164316,0.9611051974,2.560058594,228.3,98,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,5.812100000002207e-05,1.5996093752,1.3000000000000114
32,34,33,33,range-normalized,5,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",141,0.7529022577691247,0.9649027904,0.9660644531,227.6,194,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0038557140000000656,0.005615234299999994,0.5999999999999943
33,34,33,33,range-normalized,5,30,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': False}",142,0.7517622688969151,0.9661844779,0.9704589844,227.4,287,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.005137401499999972,0.010009765599999998,0.4000000000000057
34,34,33,33,range-normalized,5,40,"{'hidden_layer_sizes': (50, 150), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",823,0.761199934566886,0.9355912346,1.110351563,228.0,388,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.025455841799999934,0.14990234420000004,1.0
35,34,33,33,range-normalized,5,50,"{'hidden_layer_sizes': (50, 50, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'invscaling', 'warm_start': False}",2184,0.7551331870426473,0.9687213075,1.383056641,227.9,478,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.007674231099999984,0.4226074222,0.9000000000000057
36,34,33,33,range-normalized,10,10,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.7509420594508356,0.9610470764,0.9604492188,227.0,168,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0,0.0,0.0
37,34,33,33,range-normalized,10,20,"{'hidden_layer_sizes': (50, 100, 50), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",2558,0.7579230559954262,0.9636934363,1.602783203,228.1,328,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0026463599000000615,0.6423339842,1.0999999999999943
38,34,33,33,range-normalized,10,30,"{'hidden_layer_sizes': (50, 50, 50), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",2017,0.7554163400652962,0.9611119154,1.298583984,227.7,477,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,6.483899999998322e-05,0.33813476519999996,0.6999999999999886
39,34,33,33,range-normalized,10,40,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",614,0.7543334318205,0.9598183679,1.188232422,227.5,601,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0012287085000000086,0.2277832032,0.5
40,34,33,33,range-normalized,10,50,"{'hidden_layer_sizes': (100, 100, 100), 'activation': 'identity', 'solver': 'sgd', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': False}",4052,0.7570478349463732,0.9560975367,1.341308594,227.8,819,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.004949539700000005,0.3808593752,0.8000000000000114
41,34,33,33,range-normalized,15,10,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'adaptive', 'warm_start': True}",33,0.7554562167301585,0.9624934619,0.9165039063,228.1,220,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0014463854999999803,0.0439453125,1.0999999999999943
42,34,33,33,range-normalized,15,20,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'constant', 'warm_start': True}",139,0.751851474653589,0.9636430255,0.9794921875,227.3,425,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.00259594910000005,0.019042968699999996,0.30000000000001137
43,34,33,33,range-normalized,15,30,"{'hidden_layer_sizes': (100, 150, 100), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.01, 'learning_rate': 'constant', 'warm_start': True}",4609,0.7565730514888963,0.9674264335,1.9140625,227.7,656,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.006379357100000038,0.9536132812,0.6999999999999886
44,34,33,33,range-normalized,15,40,"{'hidden_layer_sizes': (50,), 'activation': 'identity', 'solver': 'adam', 'alpha': 0.0001, 'learning_rate': 'invscaling', 'warm_start': True}",35,0.7551983098035423,0.9546551237,0.9140625,227.7,839,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'solver': 'adam', 'alpha': 0.001, 'learning_rate': 'invscaling', 'warm_start': False}",84,0.9610470764,0.9604492188,227.0,0.0063919526999999254,0.046386718800000004,0.6999999999999886
