idx,device,sample,total_mem (pc),total_mem (orin),total_mem (pi),mem_increment (pc),mem_increment (orin),mem_increment (pi)
278,16,18,27.8,24.6,19.8,1.4,1.4,1.3
279,16,19,28.1,24.6,19.8,1.5,1.4,1.0
280,16,20,27.7,24.3,19.9,1.1,1.3,1.3
281,17,1,27.6,25.0,19.8,1.4,1.4,1.2
282,17,2,27.8,24.6,19.9,1.4,1.3,1.3
283,17,3,27.8,24.8,19.7,1.4,1.3,1.0
284,17,4,27.7,24.4,19.8,1.4,1.2,1.2
285,17,5,28.1,24.8,19.8,1.4,1.5,1.0
286,17,6,27.8,24.9,19.9,1.1,1.4,1.1
287,17,7,27.9,24.3,19.8,1.2,1.3,1.2
288,17,8,27.7,24.9,19.8,1.4,1.3,1.1
289,17,9,27.8,24.3,19.7,1.4,1.3,1.2
290,17,10,27.7,24.6,19.7,1.2,1.4,1.1
291,17,11,27.7,24.6,19.9,1.2,1.4,1.3
292,17,12,27.6,24.8,19.7,1.1,1.5,1.0
293,17,13,27.6,24.7,20.0,1.1,1.2,1.4
294,17,14,27.6,24.6,19.9,1.2,1.4,1.2
295,17,15,28.0,24.7,20.0,1.5,1.4,1.3
296,17,16,27.8,24.8,19.9,1.4,1.4,1.2
297,17,17,27.8,24.2,20.0,1.2,1.2,1.1
298,17,18,27.8,24.6,19.7,1.2,1.4,1.2
299,17,19,27.9,24.5,19.7,1.4,1.2,1.2
300,17,20,28.0,24.5,19.9,1.4,1.3,1.2
301,18,1,27.7,24.3,19.8,1.2,1.3,1.2
302,18,2,27.9,24.9,20.0,1.3,1.4,1.1
303,18,3,28.0,24.4,19.8,1.4,1.4,1.1
304,18,4,27.8,24.9,19.8,1.2,1.4,1.1
305,18,5,27.5,24.4,19.8,1.0,1.3,1.1
306,18,6,27.7,24.7,20.0,1.1,1.4,1.1
307,18,7,28.1,24.3,19.9,1.5,1.3,1.2
308,18,8,27.8,24.6,19.9,1.5,1.4,1.1
309,18,9,28.1,24.4,19.7,1.5,1.4,1.0
310,18,10,27.7,24.7,19.7,1.2,1.5,1.1
311,18,11,27.8,24.5,19.9,1.2,1.4,1.3
312,18,12,27.5,24.7,19.9,1.0,1.5,1.2
313,18,13,28.1,24.7,20.0,1.5,1.5,1.1
314,18,14,28.0,25.1,19.8,1.4,1.5,1.0
315,18,15,27.8,24.3,19.8,1.4,1.3,1.1
316,18,16,27.9,25.1,20.0,1.6,1.5,1.4
317,18,17,27.9,24.7,20.0,1.6,1.5,1.4
318,18,18,28.1,25.1,20.0,1.5,1.6,1.1
319,18,19,27.8,25.1,19.9,1.2,1.6,1.3
320,18,20,27.6,24.4,19.9,1.2,1.4,1.2
321,19,1,28.4,25.1,20.0,1.8,1.8,1.4
322,19,2,28.1,25.1,20.0,1.8,1.6,1.4
323,19,3,28.3,24.8,20.1,1.9,1.8,1.3
324,19,4,28.2,25.1,20.2,1.8,1.6,1.5
325,19,5,29.5,24.6,19.9,3.0,1.5,1.0
326,19,6,27.8,24.5,19.8,1.2,1.5,1.1
327,19,7,29.2,24.9,20.0,2.8,1.5,1.1
328,19,8,28.5,25.2,20.2,1.9,1.8,1.6
329,19,9,28.2,24.6,20.0,1.8,1.6,1.4
330,19,10,29.4,25.2,19.8,3.0,1.7,1.1
331,19,11,28.0,25.4,20.1,1.6,1.8,1.4
332,19,12,29.2,24.9,20.0,2.7,1.4,1.4
333,19,13,28.1,24.9,19.9,1.4,1.6,1.1
334,19,14,29.4,25.1,19.8,2.9,1.6,1.2
335,19,15,29.5,24.9,20.1,2.9,1.6,1.2
336,19,16,28.2,25.2,20.0,1.8,1.7,1.1
337,19,17,28.4,24.8,20.1,1.9,1.7,1.2
338,19,18,27.6,24.5,20.0,1.1,1.5,1.1
339,19,19,28.2,24.9,20.0,1.8,1.7,1.1
340,19,20,27.6,25.1,19.7,1.2,1.5,1.2
341,20,1,27.8,24.4,19.7,1.2,1.3,1.2
342,20,2,27.8,24.9,20.0,1.4,1.4,1.3
343,20,3,27.8,24.9,19.8,1.2,1.4,1.1
344,20,4,27.7,24.9,19.8,1.2,1.5,1.1
345,20,5,27.8,24.7,20.0,1.2,1.4,1.3
346,20,6,28.0,24.2,20.0,1.4,1.2,1.3
347,20,7,27.9,24.6,19.8,1.4,1.4,1.1
348,20,8,27.6,24.4,19.9,1.2,1.3,1.3
349,20,9,27.9,24.3,19.9,1.4,1.3,1.3
350,20,10,27.8,25.1,20.0,1.4,1.5,1.1
351,20,11,27.8,24.9,19.8,1.4,1.5,1.1
352,20,12,27.7,24.8,19.8,1.2,1.5,1.1
353,20,13,27.8,24.8,19.8,1.2,1.5,1.1
354,20,14,27.9,24.6,19.8,1.5,1.4,1.1
355,20,15,27.7,24.3,19.9,1.4,1.3,1.3
356,20,16,27.8,24.7,20.0,1.4,1.5,1.1
357,20,17,27.8,24.9,19.8,1.2,1.4,1.2
358,20,18,27.8,24.3,20.0,1.4,1.3,1.3
359,20,19,28.1,24.7,19.9,1.8,1.2,1.3
360,20,20,27.7,25.1,19.8,1.2,1.5,1.1
361,21,1,28.1,24.5,19.6,1.5,1.3,1.1
362,21,2,27.9,24.2,19.7,1.4,1.2,1.0
363,21,3,27.8,24.8,19.9,1.2,1.2,1.0
364,21,4,28.0,24.8,19.9,1.4,1.3,1.2
365,21,5,27.7,24.7,19.8,1.2,1.2,1.1
366,21,6,27.9,24.7,19.9,1.2,1.2,1.3
367,21,7,28.0,24.8,19.9,1.4,1.4,1.1
368,21,8,27.9,24.5,19.8,1.4,1.3,1.1
369,21,9,27.9,24.4,19.9,1.6,1.3,1.4
370,21,10,27.5,24.2,19.7,1.1,1.2,1.0
371,21,11,27.9,24.4,19.8,1.5,1.3,1.1
372,21,12,27.8,24.4,19.8,1.4,1.4,1.1
373,21,13,27.9,24.9,20.0,1.6,1.4,1.1
374,21,14,27.6,24.7,19.7,1.2,1.3,1.1
375,21,15,27.7,24.1,19.7,1.2,1.2,1.0
376,21,16,27.8,24.3,19.8,1.4,1.3,1.1
377,21,17,28.0,24.8,19.8,1.5,1.4,1.2
378,21,18,27.9,24.3,19.6,1.5,1.2,0.9
379,21,19,28.0,24.8,19.7,1.4,1.3,1.0
380,21,20,27.6,25.0,19.8,1.2,1.4,1.1
381,22,1,28.0,24.9,19.7,1.4,1.4,1.1
382,22,2,27.9,24.8,20.0,1.4,1.4,1.1
383,22,3,27.5,24.8,19.8,1.2,1.4,1.1
384,22,4,27.6,24.8,19.8,1.1,1.4,1.1
385,22,5,28.0,24.4,19.8,1.5,1.4,1.1
386,22,6,27.9,24.3,19.8,1.4,1.3,1.0
387,22,7,27.6,24.3,20.0,1.2,1.3,1.3
388,22,8,27.7,25.0,19.9,1.2,1.4,1.1
389,22,9,28.0,24.9,20.0,1.4,1.4,1.1
390,22,10,28.0,24.6,19.9,1.4,1.3,1.3
391,22,11,27.7,24.7,19.8,1.2,1.4,1.1
392,22,12,27.7,24.3,19.7,1.2,1.3,1.1
393,22,13,27.7,24.3,20.0,1.1,1.3,1.3
394,22,14,28.0,25.0,19.9,1.2,1.4,1.3
395,22,15,27.9,24.9,19.8,1.4,1.4,1.1
396,22,16,27.9,24.8,19.8,1.2,1.4,1.2
397,22,17,27.8,24.3,19.9,1.4,1.3,1.3
398,22,18,27.7,24.5,19.9,1.2,1.4,1.3
399,22,19,27.7,24.6,19.8,1.4,1.3,1.1
400,22,20,27.8,25.0,19.9,1.4,1.4,1.0
401,23,1,28.1,25.0,20.0,1.5,1.4,1.4
402,23,2,27.9,24.6,20.1,1.5,1.3,1.4
403,23,3,27.9,24.6,20.1,1.5,1.6,1.5
404,23,4,27.9,24.5,19.9,1.5,1.4,1.3
405,23,5,27.9,24.7,19.9,1.4,1.4,1.0
406,23,6,28.0,25.1,19.8,1.4,1.5,1.1
407,23,7,28.1,24.9,19.9,1.5,1.6,1.2
408,23,8,27.9,25.1,20.0,1.4,1.5,1.4
409,23,9,28.0,24.7,20.0,1.5,1.7,1.4
410,23,10,28.1,25.1,20.1,1.5,1.7,1.5
411,23,11,28.0,25.3,20.1,1.5,1.7,1.2
412,23,12,27.9,24.6,19.9,1.2,1.4,1.2
413,23,13,27.6,24.7,19.9,1.2,1.4,1.3
414,23,14,27.8,24.5,19.8,1.4,1.4,1.1
415,23,15,27.9,24.7,19.7,1.4,1.5,1.0
416,23,16,27.8,24.9,19.9,1.4,1.7,1.2
417,23,17,28.2,24.6,19.9,1.6,1.6,1.2
418,23,18,27.9,25.0,19.8,1.5,1.5,1.1
419,23,19,27.9,24.6,20.0,1.4,1.4,1.4
420,23,20,27.9,24.9,20.0,1.5,1.7,1.4
421,24,1,28.2,25.1,20.0,1.6,1.7,1.4
422,24,2,28.0,25.1,20.0,1.4,1.5,1.1
423,24,3,27.6,24.8,20.0,1.2,1.4,1.4
424,24,4,27.8,25.1,19.8,1.2,1.5,1.1
425,24,5,27.9,24.3,20.0,1.4,1.3,1.4
426,24,6,27.6,24.7,19.8,1.2,1.5,1.1
427,24,7,27.9,24.9,19.8,1.5,1.4,1.2
428,24,8,28.0,25.2,20.1,1.6,1.7,1.5
429,24,9,28.0,25.1,19.9,1.5,1.6,1.2
430,24,10,27.9,24.9,19.8,1.5,1.6,1.1
431,24,11,28.1,24.6,20.1,1.6,1.6,1.4
432,24,12,28.0,25.2,20.1,1.5,1.7,1.5
433,24,13,27.8,24.4,19.8,1.2,1.3,1.1
434,24,14,28.2,25.1,19.9,1.6,1.6,1.2
435,24,15,27.8,24.7,19.9,1.2,1.4,1.4
436,24,16,27.9,24.6,20.1,1.6,1.6,1.5
437,24,17,28.0,24.6,20.1,1.6,1.6,1.2
438,24,18,28.1,25.1,19.9,1.5,1.7,1.2
439,24,19,27.8,24.4,19.9,1.2,1.4,1.3
440,24,20,28.0,24.9,20.0,1.4,1.5,1.1
441,25,1,27.9,24.4,19.9,1.4,1.3,1.3
442,25,2,28.0,24.8,19.9,1.4,1.4,1.3
443,25,3,27.8,24.6,19.8,1.4,1.4,1.1
444,25,4,27.9,24.6,20.0,1.6,1.3,1.1
445,25,5,27.7,24.8,20.0,1.2,1.4,1.3
446,25,6,27.6,24.6,20.0,1.5,1.4,1.1
447,25,7,27.9,24.5,19.7,1.5,1.4,1.2
448,25,8,27.7,25.0,19.8,1.2,1.5,1.1
449,25,9,27.9,24.5,19.8,1.4,1.3,1.2
450,25,10,27.9,24.8,19.9,1.4,1.3,1.3
451,25,11,27.9,24.8,19.8,1.5,1.3,1.1
452,25,12,27.8,24.9,19.8,1.2,1.4,1.3
453,25,13,27.5,24.8,19.7,1.2,1.4,1.0
454,25,14,27.8,24.3,19.8,1.2,1.3,1.1
455,25,15,27.8,24.7,19.8,1.5,1.5,1.1
456,25,16,28.0,24.9,19.9,1.2,1.5,1.3
457,25,17,27.9,24.6,19.9,1.4,1.4,1.3
458,25,18,27.8,24.7,19.8,1.4,1.3,1.2
459,25,19,27.9,24.7,19.8,1.4,1.5,1.1
460,25,20,28.0,24.7,20.0,1.5,1.4,1.1
461,26,1,28.0,24.3,19.8,1.4,1.3,1.1
462,26,2,27.8,25.0,19.8,1.4,1.4,1.2
463,26,3,27.7,24.6,20.0,1.1,1.4,1.1
464,26,4,27.5,24.8,19.9,1.1,1.4,1.3
465,26,5,27.9,24.4,19.7,1.4,1.4,1.2
466,27,1,27.8,24.6,20.0,1.4,1.4,1.1
467,27,2,27.9,24.8,20.0,1.4,1.3,1.1
468,27,3,27.8,24.9,19.9,1.2,1.5,1.3
469,27,4,28.1,24.8,19.9,1.5,1.5,1.3
470,27,5,27.7,25.0,19.8,1.1,1.4,1.1
471,27,6,27.9,24.5,19.8,1.4,1.2,1.2
472,27,7,27.8,24.8,19.8,1.2,1.3,1.1
473,27,8,27.9,24.6,19.8,1.2,1.4,1.1
474,27,9,28.0,24.7,20.0,1.5,1.4,1.1
475,27,10,28.0,24.6,20.0,1.2,1.4,1.1
476,27,11,27.9,24.8,19.8,1.4,1.5,1.1
477,27,12,27.8,25.1,19.8,1.4,1.5,1.1
478,27,13,28.0,25.0,20.0,1.5,1.4,1.3
479,27,14,28.1,25.0,19.9,1.5,1.5,1.3
480,27,15,27.9,24.6,20.0,1.2,1.4,1.3
481,27,16,27.9,24.6,19.9,1.6,1.4,1.3
482,27,17,28.0,24.6,19.8,1.4,1.4,1.1
483,27,18,27.6,25.0,19.8,1.4,1.5,1.2
484,27,19,27.9,24.8,19.9,1.5,1.3,1.3
485,27,20,28.0,24.7,19.9,1.4,1.4,1.3
486,28,1,28.0,24.9,19.9,1.4,1.4,1.3
487,28,2,27.7,24.3,19.9,1.2,1.3,1.3
488,28,3,27.9,24.9,19.8,1.2,1.4,1.1
489,28,4,27.8,24.4,19.8,1.2,1.3,1.3
490,28,5,27.7,24.6,19.8,1.4,1.4,1.1
491,28,6,28.0,25.0,20.0,1.4,1.4,1.3
492,28,7,27.7,24.6,19.9,1.4,1.4,1.2
493,28,8,27.8,24.6,19.9,1.4,1.4,1.1
494,28,9,27.8,25.0,19.7,1.2,1.4,1.2
495,28,10,27.7,24.4,19.9,1.2,1.2,1.1
496,28,11,27.9,24.6,19.9,1.2,1.5,1.1
497,28,12,27.9,24.6,20.0,1.4,1.3,1.1
498,28,13,27.6,24.8,19.8,1.2,1.4,1.1
499,28,14,27.8,24.9,19.8,1.4,1.4,1.1
500,28,15,27.8,25.0,19.9,1.4,1.5,1.1
501,28,16,27.8,25.0,19.8,1.4,1.5,1.1
502,28,17,27.9,24.6,19.7,1.4,1.4,1.2
503,28,18,27.8,24.8,19.8,1.2,1.4,1.2
504,28,19,27.8,25.0,19.8,1.4,1.5,1.0
505,28,20,27.7,24.6,19.8,1.4,1.4,1.0
506,29,1,27.8,24.8,19.7,1.4,1.3,1.1
507,29,2,27.7,24.8,19.7,1.4,1.3,1.2
508,29,3,27.7,25.0,19.8,1.2,1.4,1.1
509,29,4,27.6,24.3,19.8,1.2,1.3,1.1
510,29,5,27.7,25.0,19.9,1.4,1.4,1.2
511,30,1,27.8,25.0,19.8,1.4,1.4,1.1
512,30,2,27.6,24.3,19.8,1.2,1.1,1.2
513,30,3,27.6,24.6,20.0,1.4,1.4,1.3
514,30,4,27.8,24.9,19.8,1.4,1.4,1.1
515,30,5,27.6,24.3,19.9,1.2,1.3,1.2
516,30,6,27.8,24.5,19.9,1.4,1.4,1.3
517,30,7,28.1,24.8,19.8,1.6,1.4,1.1
518,30,8,27.7,24.5,19.9,1.2,1.3,1.3
519,30,9,27.5,24.3,19.9,1.4,1.3,1.3
520,30,10,27.8,24.6,19.8,1.2,1.4,1.1
521,30,11,27.8,24.9,19.7,1.4,1.4,1.2
522,30,12,27.7,24.4,19.8,1.2,1.4,1.1
523,30,13,27.5,24.6,19.9,1.1,1.3,1.1
524,30,14,28.0,24.6,20.0,1.5,1.4,1.3
525,30,15,27.9,24.6,19.9,1.2,1.3,1.3
526,30,16,28.0,24.9,20.0,1.5,1.4,1.3
527,30,17,28.0,24.5,20.0,1.5,1.4,1.3
528,30,18,27.7,24.6,19.8,1.2,1.3,1.1
529,30,19,27.8,24.8,19.8,1.4,1.4,1.1
530,30,20,27.9,25.0,20.0,1.2,1.5,1.3
531,31,1,27.6,24.5,19.9,1.1,1.3,1.3
532,31,2,27.3,25.0,20.0,1.1,1.5,1.1
533,31,3,27.5,24.4,19.8,1.1,1.4,1.1
534,31,4,27.9,24.6,19.9,1.4,1.3,1.3
535,31,5,27.6,24.6,19.8,1.2,1.3,1.1
536,31,6,27.7,24.4,19.8,1.2,1.3,1.1
537,31,7,27.6,24.2,19.9,1.2,1.2,1.3
538,31,8,27.8,24.8,19.9,1.2,1.3,1.2
539,31,9,28.1,25.0,19.9,1.5,1.4,1.3
540,31,10,27.6,24.8,20.0,1.4,1.4,1.1
541,31,11,27.7,24.3,19.8,1.4,1.3,1.2
542,31,12,27.6,24.8,19.9,1.2,1.3,1.3
543,31,13,27.6,24.4,19.8,1.2,1.3,1.2
544,31,14,27.8,24.6,19.9,1.2,1.4,1.3
545,31,15,28.0,24.6,19.8,1.4,1.4,1.1
546,31,16,27.9,24.9,19.8,1.5,1.4,1.1
547,31,17,27.8,24.6,20.0,1.2,1.4,1.1
548,31,18,28.0,25.0,19.8,1.5,1.4,1.1
549,31,19,27.9,24.5,19.9,1.4,1.3,1.2
550,31,20,27.8,24.6,20.0,1.4,1.4,1.1
